,0,
0,137.7373147,2
1,103.4108287,2
2,51.95282308,1
3,54.17239609,1
4,106.4255167,2
5,55.91066996,1
6,59.97947707,1
7,53.58987869,1
8,63.76949314,1
9,64.14084812,1
10,104.1391672,2
11,72.47250841,1
12,67.0441724,1
13,56.53318342,1
14,78.31415506,1
15,54.8977552,1
16,85.195549,1
17,71.24346474,1
18,136.6755421,2
19,56.45765264,1
20,59.99369077,1
21,68.54714666,1
22,91.25600471,1
23,69.39724142,1
24,67.75359951,1
25,74.16419384,1
26,61.09108155,1
27,60.58621935,1
28,51.91728833,1
29,95.51154218,1
30,54.05786066,1
31,58.1376654,1
32,114.1339227,2
33,50.09052642,1
34,54.30102855,1
35,57.80445124,1
36,79.46118509,1
37,68.99817656,1
38,58.7569992,1
39,76.94629358,1
40,83.02193387,1
41,64.97963119,1
42,62.47038047,1
43,65.71303222,1
44,54.9030349,1
45,94.88668661,1
46,55.87717835,1
47,52.50368131,1
48,53.58262941,1
49,63.24309906,1
50,63.45762921,1
51,62.66341178,1
52,77.04255233,1
53,94.5546938,1
54,55.5216286,1
55,57.26807196,1
56,54.87838716,1
57,123.2471772,2
58,85.37638829,1
59,59.55864928,1
60,106.0907658,2
61,47.68915909,0
62,69.17258987,1
63,91.64322529,1
64,76.78836303,1
65,64.85887022,1
66,99.32685807,1
67,58.32680643,1
68,62.19654485,1
69,58.80299584,1
70,63.47309077,1
71,66.516234,1
72,60.30724318,1
73,86.22820966,1
74,83.03566519,1
75,62.93897032,1
76,72.17061542,1
77,65.12900524,1
78,91.56220518,1
79,91.76362907,1
80,51.39426639,1
81,54.5097435,1
82,94.1904461,1
83,74.99437915,1
84,120.9681972,2
85,95.9466169,1
86,52.10999924,1
87,59.83503613,1
88,58.25426777,1
89,62.89449132,1
90,58.98304364,1
91,69.73035691,1
92,67.4863138,1
93,61.84129147,1
94,123.5687365,2
95,59.42374519,1
96,94.56248753,1
97,73.22600558,1
98,99.35222632,1
99,73.43353874,1
100,62.75892272,1
101,59.90403762,1
102,69.25021669,1
103,54.22088142,1
104,67.17973489,1
105,77.76341198,1
106,82.15406994,1
107,54.87582975,1
108,90.23703571,1
109,53.49163319,1
110,91.81716498,1
111,100.9437481,2
112,79.21128674,1
113,56.16991221,1
114,58.78695148,1
115,124.0285715,2
116,48.90655756,0
117,100.2026612,2
118,104.5225847,2
119,100.9861147,2
120,67.68781776,1
121,53.64833137,1
122,72.369243,1
123,66.2685248,1
124,53.54318403,1
125,53.36639386,1
126,64.26980651,1
127,54.96089439,1
128,57.78747679,1
129,52.20911223,1
130,87.91697692,1
131,59.84091444,1
132,63.34839094,1
133,56.02055868,1
134,130.1701869,2
135,124.0221293,2
136,58.88875153,1
137,58.82522721,1
138,81.74371525,1
139,80.36431987,1
140,83.61270037,1
141,69.31912991,1
142,62.59565826,1
143,142.483761,2
144,52.11514683,1
145,65.47393062,1
146,64.33016691,1
147,79.83248508,1
148,54.81401355,1
149,66.66385265,1
150,113.4014185,2
151,76.70365498,1
152,100.461659,2
153,59.08146146,1
154,59.99189888,1
155,57.84550451,1
156,111.2319775,2
157,54.67188329,1
158,54.39355505,1
159,87.63030634,1
160,62.56427499,1
161,78.82333885,1
162,120.5545033,2
163,56.01474388,1
164,78.42706856,1
165,71.65690107,1
166,64.49357622,1
167,102.3635969,2
168,80.73156197,1
169,107.0764025,2
170,87.44874858,1
171,84.28302563,1
172,70.26310972,1
173,54.62408801,1
174,28.84957046,0
175,60.28489604,1
176,61.69577056,1
177,62.95392232,1
178,52.33582993,1
179,65.61576714,1
180,50.71834756,1
181,79.31187567,1
182,63.77384558,1
183,77.07457663,1
184,62.88859194,1
185,57.78438997,1
186,54.0422717,1
187,86.57003485,1
188,83.77530916,1
189,93.8657115,1
190,55.37821526,1
191,81.38010316,1
192,65.50414058,1
193,74.60665518,1
194,110.0824207,2
195,56.15725809,1
196,65.91497889,1
197,53.06400481,1
198,49.56748036,0
199,68.97373373,1
200,63.34867783,1
201,53.60224379,1
202,58.80434542,1
203,103.507326,2
204,58.2920661,1
205,57.74814675,1
206,75.0102335,1
207,57.4151589,1
208,68.93783026,1
209,64.002539,1
210,63.84593079,1
211,66.9464889,1
212,63.71378809,1
213,96.17545725,1
214,59.81450158,1
215,51.0631896,1
216,62.79748069,1
217,55.9715436,1
218,55.13039585,1
219,52.74319625,1
220,62.22978809,1
221,127.9026667,2
222,52.3576694,1
223,91.23047906,1
224,57.87784137,1
225,52.61057025,1
226,54.97965895,1
227,94.99481122,1
228,55.00348576,1
229,62.21648359,1
230,66.38356767,1
231,117.2287269,2
232,55.45021861,1
233,72.41501553,1
234,73.5846048,1
235,72.7844231,1
236,99.03079814,1
237,54.21778154,1
238,131.0766788,2
239,64.11894744,1
240,82.95754804,1
241,59.60446139,1
242,53.52753824,1
243,68.86372637,1
244,84.30575757,1
245,72.32721419,1
246,100.8429513,2
247,55.99398934,1
248,62.27124857,1
249,53.42878067,1
250,64.59674018,1
251,70.84750721,1
252,62.03029419,1
253,65.95787538,1
254,82.00925692,1
255,66.71286192,1
256,112.9316154,2
257,68.1181157,1
258,64.20052269,1
259,58.0856823,1
260,61.43265294,1
261,75.14249434,1
262,54.92861163,1
263,54.2063587,1
264,63.06631497,1
265,68.9558041,1
266,53.79533614,1
267,62.82236476,1
268,92.29319428,1
269,57.06595305,1
270,97.13370703,1
271,55.245952,1
272,53.80401366,1
273,65.38367631,1
274,59.35680711,1
275,65.94598248,1
276,54.26281214,1
277,66.45733135,1
278,102.2358056,2
279,85.86565988,1
280,83.91700128,1
281,78.43314103,1
282,64.13576171,1
283,50.55224135,1
284,59.25347214,1
285,97.61531418,1
286,83.79375653,1
287,53.33932011,1
288,59.85825275,1
289,62.13889638,1
290,80.65346944,1
291,54.67023564,1
292,68.47345934,1
293,114.7942361,2
294,78.50566505,1
295,90.15840139,1
296,60.66976475,1
297,52.44508167,1
298,53.33151766,1
299,62.40474939,1
300,67.36122325,1
301,64.28503908,1
302,67.05303784,1
303,82.81011436,1
304,56.18125956,1
305,54.49139934,1
306,76.7169668,1
307,62.56053765,1
308,59.45569838,1
309,52.33776244,1
310,63.65121817,1
311,82.17600349,1
312,55.99613256,1
313,59.70592147,1
314,65.80005856,1
315,53.17191223,1
316,57.40570933,1
317,61.65820286,1
318,67.83324197,1
319,51.74529498,1
320,52.50798033,1
321,59.78663905,1
322,73.19812051,1
323,78.94622941,1
324,57.58646641,1
325,68.59831754,1
326,72.18504789,1
327,90.90961939,1
328,57.251602,1
329,149.5153338,2
330,65.96236561,1
331,59.55148501,1
332,88.38996348,1
333,54.87202382,1
334,76.70559246,1
335,76.28161691,1
336,51.65114746,1
337,58.52634333,1
338,84.91221021,1
339,52.33417494,1
340,63.6851645,1
341,76.71164625,1
342,60.25974875,1
343,60.44270568,1
344,58.70245472,1
345,54.06064531,1
346,59.09570138,1
347,59.59879548,1
348,61.33908491,1
349,62.44665864,1
